Name,Company,Level,MarketTime,Engine,Gearbox,LWH,BodyStructure,MaximunSpeed,FuelConsumption,EngineCapacity,EngineForm,GearboxType,ParkingBrakeType,PSAirbag,BASideAirbag,BAHeadAirbag,TirePressure,SeatBeltWarning,ChildSeat,ABS,EBD,EBA,ASR,ESC,MergeSupport,DeviationWarning,SecuritySystem,NightVersion,ParkingRadar,ParkingVideo,PanoramicCamera,Cruise,AdaptiveCruise,AutomaticParking,EngineAutomatic,UphillSupport,AutomaticSkylight,PanoramicSkylight,Rims,AutomaticDoor,AutomaticTrunk,InduceTrunk,RoofRacks,EngineAntiTheft,ParkingLock,RemoteKey,KeylessStart,KeylessEntry,SteeringWheel,SeatMaterial,SeatAdjust,PSSeatAdjust,AfterSeatAdjust,SeatMemory,SeatFallDown,CentralArmrest,CupHolder,GPS,Positioning,Screen,ScreenSize,Interface,CDDVD,Speaker,LowLights,HighLights,LED,AdaptiveLights,HeadLights,SupportLights,FogLights,AtmosphereLights,AutomaticWindow,WindowLift,WindowAntiClipHand,InsulatedGlass,AutomaticRearviewAdjust,AutomaticRearviewFold,MakeupMirror,Wipers,InduceWipers,AirConditioning,WindOutlet
"C4世嘉 2016款 1.2THP 自动旗舰型",东风雪铁龙,紧凑型车,2015.11,"1.2T 136马力 L3",6挡手自一体,4588*1800*1496,4门5座三厢车,200,5.2,1.2,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,●,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,-,"前● / 后●",●,○,○,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,●,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,●,自动●,-
"C4世嘉 2016款 1.2THP 自动豪华型",东风雪铁龙,紧凑型车,2015.11,"1.2T 136马力 L3",6挡手自一体,4588*1800*1496,4门5座三厢车,200,5.2,1.2,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,●,●,○,-,●,-,-,-,-,●,●,●,-,-,●,皮/织物混搭,●,"主○ / 副-",-,-,-,"前● / 后●",●,-,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,自动●,-
"C4世嘉 2016款 1.6L 自动舒适型",东风雪铁龙,紧凑型车,2015.11,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,-,"前● / 后-",-,-,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,手动●,-
"C4世嘉 2016款 1.6L 自动豪华型",东风雪铁龙,紧凑型车,2015.11,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,●,皮/织物混搭,●,"主○ / 副-",-,-,-,"前● / 后●",●,-,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,自动●,-
"C4世嘉 2016款 1.6THP 自动旗舰型",东风雪铁龙,紧凑型车,2015.11,"1.6T 167马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,215,5.9,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,●,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,-,"前● / 后●",●,○,○,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,●,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,●,自动●,-
"C4世嘉 2016款 悦心版 1.6L 自动舒适型",东风雪铁龙,紧凑型车,2016.09,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,-,"前● / 后-",-,●,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,手动●,-
"C4世嘉 2016款 悦心版 1.6L 自动豪华型",东风雪铁龙,紧凑型车,2016.09,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,●,皮/织物混搭,●,"主○ / 副-",-,-,-,"前● / 后●",●,●,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,自动●,-
"DS 5LS 2016款 1.6T 基础版THP160",长安标致雪铁龙,紧凑型车,2016.04,"1.6T 167马力 L4",6挡手自一体,4702*1840*1510,4门5座三厢车,212,6.3,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,比例放倒,"前● / 后-",-,-,-,-,-,USB+AUX,单碟CD,6-7喇叭,卤素,卤素,●,-,-,●,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"DS 5LS 2016款 1.6T 舒适版THP160",长安标致雪铁龙,紧凑型车,2016.04,"1.6T 167马力 L4",6挡手自一体,4702*1840*1510,4门5座三厢车,212,6.3,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,●,●,○,-,●,-,-,-,-,●,●,●,-,-,●,织物,●,-,-,-,比例放倒,"前● / 后-",-,○,-,○,(选装7英寸),USB+AUX,单碟CD,6-7喇叭,卤素,卤素,●,-,-,●,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"DS 5LS 2016款 1.6T 风尚版THP160",长安标致雪铁龙,紧凑型车,2016.04,"1.6T 167马力 L4",6挡手自一体,4702*1840*1510,4门5座三厢车,212,6.3,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,-,-,●,织物(选装皮/织物混,●,-,-,-,比例放倒,"前● / 后○",○,○,-,●,7英寸,USB+AUX,单碟DVD,6-7喇叭,卤素,卤素,●,-,-,●,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"LANNIA 蓝鸟 2016款 1.6L CVT智炫版",东风日产,紧凑型车,2016.04,"1.6L 126马力 L4",CVT无级变速,4683*1780*1465,4门5座三厢车,190,5.7,1.6,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,-,●,-,-,-,-,-,-,●,-,●,-,-,-,-,●,●,●,●,●,-,织物,●,-,-,-,比例放倒,"前● / 后-",-,-,-,●,7英寸,USB+AUX,-,4-5喇叭,卤素,卤素,●,-,-,-,-,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"LANNIA 蓝鸟 2016款 1.6L CVT智酷版",东风日产,紧凑型车,2015.10,"1.6L 126马力 L4",CVT无级变速,4683*1780*1465,4门5座三厢车,190,5.7,1.6,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,-,●,-,-,-,-,-,-,●,-,●,-,-,-,-,●,●,●,●,●,-,织物,●,-,-,-,比例放倒,"前● / 后-",-,-,-,●,7英寸,USB+AUX,-,4-5喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"LANNIA 蓝鸟 2016款 1.6L CVT高能版",东风日产,紧凑型车,2015.10,"1.6L 126马力 L4",CVT无级变速,4683*1780*1465,4门5座三厢车,190,5.3,1.6,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,-,-,-,●,-,●,-,●,-,-,-,-,●,●,●,●,●,●,皮/织物混搭,●,-,-,-,比例放倒,"前● / 后●",●,-,-,●,7英寸,USB+AUX,-,6-7喇叭,卤素,卤素,-,-,-,-,●,●,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,自动●,-
"YARiS L 致享 2017款 1.5G CVT炫动天窗版",广汽丰田,小型车,2017.03,"1.5L 107马力 L4",CVT无级变速(模拟8挡),4440*1700*1490,4门5座三厢车,-,5.1,1.5,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,-,"前● / 后-",●,-,-,-,-,USB+AUX,单碟CD,4-5喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",-,-,-,●,-,●,-,-,手动●,-
"YARiS L 致享 2017款 1.5G CVT炫动版",广汽丰田,小型车,2017.03,"1.5L 107马力 L4",CVT无级变速(模拟8挡),4440*1700*1490,4门5座三厢车,-,5.1,1.5,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,-,"前● / 后-",●,-,-,-,-,USB+AUX,单碟CD,4-5喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",-,-,-,●,-,●,-,-,手动●,-
"YARiS L 致享 2017款 1.5GS CVT锐动版",广汽丰田,小型车,2017.03,"1.5L 107马力 L4",CVT无级变速(模拟8挡),4440*1700*1490,4门5座三厢车,-,5.1,1.5,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,-,●,仿皮+真皮,●,-,-,-,比例放倒,"前● / 后-",●,-,-,-,-,USB+AUX,单碟CD,4-5喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",-,-,-,●,-,●,-,-,手动●,-
"传祺GA3S新能源 2017款 1.5L 尊享版",广汽乘用车,小型车,2017.04,"1.5L 97马力 L4",电动车单速变速箱,4600*1790*1530,4门5座三厢车,180,1.7,1.5,自然吸气,300,多连杆独立悬架,"主● / 副●",-,-,●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,比例放倒,"前● / 后-",-,●,-,●,-,USB+AUX,-,6-7喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,自动●,-
"传祺GA3S新能源 2017款 1.5L 精英版",广汽乘用车,小型车,2017.04,"1.5L 97马力 L4",电动车单速变速箱,4600*1790*1530,4门5座三厢车,180,1.7,1.5,自然吸气,300,多连杆独立悬架,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,●,-,-,●,-,-,-,-,●,●,●,●,●,●,皮/织物混搭,●,-,-,-,比例放倒,"前● / 后-",-,●,-,●,-,USB+AUX,-,6-7喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,自动●,-
"传祺GA6 2016款 235T 自动尊贵版",广汽乘用车,中型车,2016.03,"1.5T 152马力 L4",7挡双离合,4850*1830*1485,4门5座三厢车,-,6.1,1.5,涡轮增压,双离合变速箱(DCT),电子驻车,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副●",-,●,-,"前● / 后●",●,●,●,●,8英寸,USB,单碟CD,8-9喇叭,氙气,氙气,●,-,●,●,●,●,"前● / 后●",主驾驶位,●,-,●,●,●,-,●,自动●,●
"传祺GA6 2016款 235T 自动精英版",广汽乘用车,中型车,2016.03,"1.5T 152马力 L4",7挡双离合,4850*1830*1485,4门5座三厢车,-,6.3,1.5,涡轮增压,双离合变速箱(DCT),电子驻车,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,-,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,-,"前● / 后●",●,-,-,-,-,USB,单碟CD,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,●
"传祺GA6 2016款 235T 自动舒适版",广汽乘用车,中型车,2016.03,"1.5T 152马力 L4",7挡双离合,4850*1830*1485,4门5座三厢车,-,6.3,1.5,涡轮增压,双离合变速箱(DCT),手刹,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,-,●,-,-,●,-,-,-,-,●,●,●,-,-,●,皮/织物混搭,●,-,-,-,-,"前● / 后-",-,-,-,-,-,USB,单碟CD,6-7喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,●
"传祺GA6 2016款 235T 自动豪华版",广汽乘用车,中型车,2016.03,"1.5T 152马力 L4",7挡双离合,4850*1830*1485,4门5座三厢车,-,6.3,1.5,涡轮增压,双离合变速箱(DCT),电子驻车,"主● / 副●","前● / 后-",-,●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副●",-,●,-,"前● / 后●",●,●,●,●,8英寸,USB,单碟CD,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,●,●,-,-,自动●,●
"传祺GA8 2017款 280T 尊享版",广汽乘用车,中大型车,2017.04,"1.8T 188马力 L4",6挡手自一体,5003*1910*1508,4门5座三厢车,-,7.8,1.8,涡轮增压,手自一体变速箱(AT),电子驻车,"主● / 副●","前● / 后-","前● / 后-",●,●,●,●,●,●,●,●,-,-,-,-,"前● / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副●",-,●,-,"前● / 后●",●,●,-,●,10.1英寸,USB+AUX+HD,单碟CD,6-7喇叭,氙气,氙气,●,-,●,-,●,-,"前● / 后●",全车,●,●,●,●,●,-,●,自动●,●
"传祺GA8 2017款 280T 智享版",广汽乘用车,中大型车,2017.04,"1.8T 188马力 L4",6挡手自一体,5003*1910*1508,4门5座三厢车,-,7.8,1.8,涡轮增压,手自一体变速箱(AT),电子驻车,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副●",-,-,-,"前● / 后●",●,-,-,●,10.1英寸,USB+AUX+HD,单碟CD,6-7喇叭,氙气,氙气,●,-,-,-,●,-,"前● / 后●",全车,●,●,●,●,●,-,-,自动●,●
"传祺GA8 2017款 320T 尊享版",广汽乘用车,中大型车,2017.04,"2.0T 197马力 L4",6挡手自一体,5003*1910*1508,4门5座三厢车,-,7.9,2.0,涡轮增压,手自一体变速箱(AT),电子驻车,"主● / 副●","前● / 后-","前● / 后-",●,●,●,●,●,●,●,●,-,-,-,-,"前● / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副●",-,●,-,"前● / 后●",●,●,-,●,10.1英寸,USB+AUX+HD,单碟CD,6-7喇叭,LED,LED,●,-,●,●,●,-,"前● / 后●",全车,●,●,●,●,●,-,●,自动●,●
"传祺GA8 2017款 320T 智享版",广汽乘用车,中大型车,2017.04,"2.0T 197马力 L4",6挡手自一体,5003*1910*1508,4门5座三厢车,-,7.9,2.0,涡轮增压,手自一体变速箱(AT),电子驻车,"主● / 副●","前● / 后-","前● / 后-",-,●,●,●,●,●,●,●,-,-,-,-,"前● / 后●",-,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副●",-,-,-,"前● / 后●",●,●,-,●,10.1英寸,USB+AUX+HD,单碟CD,6-7喇叭,氙气,氙气,●,-,●,-,●,-,"前● / 后●",全车,●,●,●,●,●,-,●,自动●,●
"凌派 2016款 1.8L CVT旗舰版",广汽本田,紧凑型车,2015.12,"1.8L 136马力 L4",CVT无级变速,4664*1750*1505,4门5座三厢车,195,6.2,1.8,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,●,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,仿皮,●,-,-,-,比例放倒,"前● / 后●",●,-,-,●,7英寸,USB+HDMI,-,6-7喇叭,LED,卤素,●,-,-,-,●,●,"前● / 后●",主驾驶位,●,-,●,●,●,-,-,自动●,-
"凌派 2016款 1.8L CVT舒适版",广汽本田,紧凑型车,2015.12,"1.8L 136马力 L4",CVT无级变速,4664*1750*1505,4门5座三厢车,195,6.3,1.8,自然吸气,无级变速箱(CVT),手刹,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-,●,●,●,-,-,-,织物,-,-,-,-,比例放倒,"前● / 后●",●,-,-,-,-,USB,-,4-5喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"凌派 2016款 1.8L CVT豪华版",广汽本田,紧凑型车,2015.12,"1.8L 136马力 L4",CVT无级变速,4664*1750*1505,4门5座三厢车,195,6.3,1.8,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,-,●,●,-,●,-,-,-,-,●,●,●,●,●,-,织物,●,-,-,-,比例放倒,"前● / 后●",●,-,-,●,7英寸,USB+HDMI,-,4-5喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"凌派 2016款 1.8L CVT领先版",广汽本田,紧凑型车,2015.12,"1.8L 136马力 L4",CVT无级变速,4664*1750*1505,4门5座三厢车,195,6.3,1.8,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,●,-,-,-,"前- / 后●",●,-,-,-,-,-,●,●,-,●,-,-,-,-,●,●,●,●,●,-,织物,●,-,-,-,比例放倒,"前● / 后●",●,-,-,●,7英寸,USB+HDMI,-,4-5喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,●,●,-,-,自动●,-
"凌派 2017款 1.8L CVT舒适特装版",广汽本田,紧凑型车,2017.06,"1.8L 136马力 L4",CVT无级变速,4664*1750*1505,4门5座三厢车,-,-,1.8,自然吸气,无级变速箱(CVT),手刹,"主● / 副●",-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-,●,●,●,-,-,-,织物,-,-,-,-,比例放倒,"前● / 后●",●,-,-,-,-,USB,-,4-5喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"凌派 2017款 1.8L CVT豪华特装版",广汽本田,紧凑型车,2017.06,"1.8L 136马力 L4",CVT无级变速,4664*1750*1505,4门5座三厢车,-,-,1.8,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-",-,●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,-,●,●,-,●,-,-,-,-,●,●,●,●,●,-,织物,●,-,-,-,比例放倒,"前● / 后●",●,-,-,●,7英寸,USB+HDMI,-,4-5喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"凌渡 2017款 230TSI DSG风尚版",上汽大众,紧凑型车,2016.08,"1.4T 131马力 L4",7挡双离合,4598*1826*1425,4门5座三厢车,206,-,1.4,涡轮增压,双离合变速箱(DCT),电子驻车,"主● / 副●","前● / 后-",-,●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,●,-,○,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,比例放倒,"前● / 后-",-,-,-,-,-,USB+AUX+SD,单碟CD,6-7喇叭,卤素,卤素,-,-,-,●,●,-,"前● / 后●",全车,●,-,●,-,●,-,-,手动●,-
